Column 1,Item,Net Weight/Volume,Price (Peso),Contains Allergens,Processsed in a place that may contain these allergens,Nutritional Facts,Ingredients,Other Information,Done,Price ($),Total Done:,191
40,COBRA_ENERGY_DRINK_BERRY_BLAST_350ML,350ml,22.5,None,None,"Serving Size: 240 mL, No. of Servings per bottle: 1.5, Calories: 85, Calories from Fat: 0, Total Fat: 0g, Saturated Fat: 0g, Trans Fat: 0g, Cholesterol: 0mg, Sodium: 50mg, Total Carbohydrates: 21g, Dietary Fiber: 0g, Sugar: 21g, Total Protein: 0g, Zinc: 6.4mg, Cholecalciferol (Vit. D3): 200IU, Niacinamide (Vit. B3): 8.0mg, Pyridoxine Hydrochloride (Vit. B6): 0.9mg, Cyanocobalamin (Vit. B12): 0.8mcg","Carbonated Water, Sugar. Acidity Regulators (Citric Acid and Sodium Citrate), Maltodextrin, Taurine, Caffeine (131mg), Natural, Nature-Identical and Artificial Flavors, Sweeteners (Sucralose and Acesulfame Potassium), Sodium Benzoate as Preservative, Artificial Colors, Inositol, Ginseng Powder, Vitamins and Minerals (Vitamin B3, Zinc Sulfate, Vitamin B6, Vitamin D3 and Vitamin B12)",Caffeine,TRUE,0.4,,
41,COBRA_ENERGY_DRINK_PLUS_SMART_350ML,350ml,23.5,None,None,"Serving Size: 240 mL, No. of Servings per bottle: 1.5, Calories: 90, Calories from Fat: 0, Total Fat: 0g, Saturated Fat: 0g, Trans Fat: 0g, Cholesterol: 0mg, Sodium: 50mg, Total Carbohydrates: 23g, Dietary Fiber: 0g, Sugars: 23g, Total Protein: 0g, Thiamine Hydrochloride (Vit. B1): 1.4mg, Zinc: 6.4mg, Cholecalciferol (Vit. D3) : 200IU, Niacinamide (Vit. B3) : 8.0mg, Pyridoxine Hydrochloride (Vit. B6) : 0.9mg, Cyanocobalamin (Vit. B12): 0.8mcg","Carbonated Water, Sugar, Acidity Regulators (Citric Acid and Sodium Citrate), Taurine, Caffeine (131mg), Natural and Artificial Flavors, Sweeteners (Sucralose and Acesulfame Potassium), Sodium Benzoate as Preservative, Artificial Colors (including Tartrazine), Inositol, Ginseng Powder, Vitamins and Minerals (Vitamin B3, Zinc Sulfate, Vitamin B1, Vitamin B6, Vitamin D3, and Vitamin B12)",Caffeine,TRUE,0.41,,
42,COCACOLA_REGULAR_500ML,500ml,36,,,,,,FALSE,0.63,,
43,COCACOLA_LIGHT_500ML,500ml,36,,,,,,FALSE,0.63,,
44,COCACOLA_ORIGINAL_TASTE_290ML,290ml,20,,,,,,FALSE,0.35,,
45,COCACOLA_ZERO_SUGAR_500ML,500ml,20,,,,,,FALSE,0.35,,
46,COWHEAD_PURE_MILK_1L,1L,102,Milk,None,"Serving Size: 250ml, Serving per package: 4, Energy: 173kcal, Protein, 8.5g, Total Fat: 8.8g, Saturated Fat: 6.5g, Trans Fat: 0.3g, Cholesterol: 40mg, Total Carbohydrates: 13g, Sugar: 13g, Lactose: 13g, Sodium:100mg, Calcium: 275mg",Full Cream Milk,,TRUE,1.79,,
47,CRISS_CROSS_CHEESY_SOUR_CREAM_AND_ONION_20G,20g,6,"Wheat/Cereals/Gluten, Milk, Soybeans/Soy/Soya","Crustacean Shellfish, Fish, Tree Nuts, Seasame","Serving Size: 20g, Servings Per container: 1, Calories: 100, Calories from Fat: 45, Total Fat: 5g, Saturated Fat:  2.5g, Trans Fat: 0g, Cholesterol: 0mg, Sodium: 250 mg, Total Carbohydrates: 13g, Dietary Fiber: 0g, Sugar: 1g, Protein: 1g, Calcium: 26mg, Iron: 0.42mg","Wheat Flour, Vegetable Oil, Dehydrated Potato, Tapioca Starch, Comstarch, Whey Powder, Maltodextrin, Spices (Onion Powder, Garlic Powder), lodized Salt, Skim Milk Powder, Sugar, Hydrolyzed Vegetable Protein, Dehydrated Chives, Sodium Bicarbonate (E500), Monocalcium Phosphate (E3411), and Sodium Acid Pyrophosphate (E450) as Leavening Agents, Citric Acid (E330) and Lactic Acid (E270) as Acidulant, Disodium 5'-Ribonucleotide (E635) as Flavor Enhancer, Artificial Sour Cream Flavor, Sucralose as Artificial Sweetener, Tartrazine (E102) as Artificial Food Color",,TRUE,0.11,,
48,CRISS_CROSS_CREAMY_CHEESE_20G,20g,6,"Wheat/Cereals/Gluten, Milk, Soybeans/Soy/Soya","Crustacean Shellfish, Fish, Tree Nuts, Seasame","Serving Size: 20g, Servings Per container: 1, Calories: 100, Calories from Fat: 45, Total Fat: 5g, Saturated Fat:  3g, Trans Fat: 0g, Cholesterol: 0mg, Sodium: 200 mg, Total Carbohydrates: 13g, Dietary Fiber: 0g, Sugar: 1g, Protein: 1g, Calcium: 23mg, Iron: 0.35mg","Wheat Flour, Vegetable Oil, Dehydrated Potato, Tapioca Starch, Comstarch, Cheese Powder, Sugar, Buttermilk, Spices (Onion Powder, Garlic Powder), lodized Salt, Maltodextrin, Hydrolyzed Vegetable Protein, Sodium Bicarbonate (E500), Monocalcium Phosphate (E3411) and Sodium Acid Pyrophosphate (E450) as Leavening Agents, Monosodium Glutamate (E621) and Disodium 5'-Ribonucleotide (E635) as Flavor Enhancer, Tartrazine (E102) as Artificial Food Color, Citric Acid (E330), Artificial Butter Flavor, Sucralose as Artificial Sweetener and Cheese Flavor Enhancer",,TRUE,0.11,,
49,CRISS_CROSS_SWEET_CORN_20G,20g,6,"Wheat/Cereals/Gluten, Soybeans/Soy/Soya, Peanuts","Crustacean Shellfish, Fish, Milk, Tree Nuts, Seasame","Serving Size: 20g, Servings Per container: 1, Calories: 100, Calories from Fat: 45, Total Fat: 5g, Saturated Fat:  3g, Trans Fat: 0g, Cholesterol: 0mg, Sodium: 190 mg, Total Carbohydrates: 13g, Dietary Fiber: 0g, Sugar: 2g, Protein: 1g, Calcium: 21mg, Iron: 0.27mg","Wheat Flour, Vegetable Oil, Dehydrated Potato, Tapioca Starch, Cornstarch, Sweet Com Powder, Sugar, Dextrose Powder, lodized Salt, Onion, Hydrolyzed Vegetable Protein, Sodium Bicarbonate (E500), Monocalcium Phosphate (E3411) and Sodium Acid Pyrophosphate (E450) as Leavening Agents, Maltodextrin, Monosodium Glutamate (E621) and Disodium 5'-Ribonucleotide (E635) as Flavor Enhancer, Artificial Sweet Corn Flavor, Sucralose as Artificial Sweetener, Tartrazine (E102) as Artificial Food Color",,TRUE,0.11,,
50,CRISS_CROSS_SWEET_PEPPER_STEAK_20G,20g,6,"Wheat/Cereals/Gluten, Soybeans/Soy/Soya","Crustacean Shellfish, Fish, Milk, Tree Nuts, Seasame","Serving Size: 20g, Servings Per container: 1, Calories: 100, Calories from Fat: 45, Total Fat: 5g, Saturated Fat:  3.5g, Trans Fat: 0g, Cholesterol: 0mg, Sodium: 220 mg, Total Carbohydrates: 12g, Dietary Fiber: 0g, Sugar: 3g, Protein: 1g, Calcium: 22mg, Iron: 0.31mg","Wheat Flour, Vegetable Oil, Dehydrated Potato, Cornstarch, Sugar, Tapioca Starch, Hydrolyzed Vegetable Protein, Spices (Onion Powder, Garlic Powder, Black Pepper), Iodized Salt, Sodium Bicarbonate (E500), Monocalcium Phosphate (E3411), and Sodium Acid Pyrophosphate (E450), as Leavening Agents, Monosodium Glutamate (E621) and Disodium 5'-Ribonucleotide (E635) as Flavor Enhancer, Maltodextrin, Citric Acid (E330), Sucralose as Artificial Sweetener, Tartrazine (E102) as Artificial Food Color and TBHQ as Antioxidant",,TRUE,0.11,,
51,DELFI_KNICK_KNACKS_50G,50g,20,"Wheat/Cereals/Gluten, Milk, Soybeans/Soy/Soya","Peanuts, Tree Nuts","Serving Size: 21g, Servings per pack: About 2, Calories: 97, Calories from Fat: 31, Total Fat: 4g, Saturated Fat: 3g, Trans Fat: 0g, Cholesterol: 0mg, Sodium: 19mg, Total Carbohydrates: 15g, Dietary Fiber: 0g, Sugar 9g: Total Protein: 19, Vitamin A: 227 IU, Iron: 1.53mg","Biscuit [Wheat Flour, Sugar, Vegetable Fat (Coconut Oil, Fully Hydrogenated Palm Stearin Oil and/or Palm Oil), Milk Powder (Whey Powder), Leavening Agents (Ammonium Bicarbonate, Sodium Bicarbonate), Emulsifier (Soya Lecithin), Dough Conditioner (Sodium Metabisulfite), and Nature-identical Flavor] and Chocolate Coating [Sugar, Vegetable Fat (Fully Hydrogenated Palm Kernel Oil), Milk Powder (Whey Powder), Cocoa Powder, Emulsifiers (Soya Lecithin, Polyglycerol Polyricinoleate), Iron Pyrophosphate, Nature-identical Flavor and Vitamin A Palmitate]",,TRUE,0.35,,
52,DELMONTE_FIBER_ENRICHED_220ML,220ml,43,,,,,,FALSE,0.76,,
53,DELMONTE_FOUR_SEASONS_220ML,220ml,41,,,,,,FALSE,0.72,,
54,DELMONTE_MANGO_220ML,220ml,41,,,,,,FALSE,0.72,,
55,DELMONTE_PINEAPPLE_ORANGE_220ML,220ml,40,,,,,,FALSE,0.7,,
56,DELMONTE_PINEAPPLEDRINK_HEARTSMART_220ML,220ml,42,,,,,,FALSE,0.74,,
57,DINGDONG_MIXED_NUTS_100G,100g,30,"Peanuts, Wheat/Cereals/Gluten, Soybeans/Soy/Soya",None,"Serving size: 30g, Servings per Container: about 3 1/3, Calories: 150, Calories from Fat: 70, Total Fat: 8g, Saturated Fat: 4g, Trans Fat: 0g, Cholesterol: 0mg, Sodium: 150mg, Total Carbohydrates: 16g, Dietary Fiber: 5g, Sugars: 3g, Protein 4g, Calcium: 0g, Iron: 0g","Peanuts, Green Peas, Fava Beans, Corn, Wheat Flour, Sugar, Modified Food Starch, Hydrolyzed Soy Protein, Iodized Salt (Salt, Potassium Iodide), Vegetable Oil (Palm, Coconut, Corn), Spices (Onion, Garlic, Chili Powder, Black Pepper), Monosodium Glutamate (Flavor Enhancer, E621), Artificial Color [FD&C Yellow #5 (E102), FD&C Yellow #6 (E110) and FD&C Blue #1 (E133)] And Tertiary-Butylhydroquinone (Antioxidant)",,TRUE,0.53,,
58,DINGDONG_SNACK_MIX_100G,100g,30,,,,,,FALSE,0.53,,
59,DINGDONG_SNACK_MIX_SWEET_&_SPICY_100G,100g,30,"Peanuts, Wheat/Cereals/Gluten, Soybeans/Soy/Soya",None,"Serving size: 30g, Servings per Container: about 3 1/6, Calories: 150, Calories from Fat: 60, Total Fat: 7g, Saturated Fat: 5g, Trans Fat: 0g, Cholesterol: 0mg, Sodium: 200mg, Total Carbohydrates: 19g, Dietary Fiber: 3g, Sugars: 1g, Protein 3g, Calcium: 0g, Iron: 0g","Corn, Green Peas, Peanuts, Wheat Flour, Vegetable Oil (Palm, Corn And Coconut), Sugar, Hydrolyzed Soy Protein, Iodized Salt (Salt, Potassium Iodide), Garlic Powder, Red Pepper, Artificial Color [FD & C Yellow #5 (E102), FD & C Blue #1 (E133)], Monosodium Glutamate (Flavor Enhancer, E621) And Tertiary-Butylhydroquinone (Antioxidant)",,TRUE,0.53,,
60,DOLE_PINEAPPLE_240ML,240ml,32,,,,,,FALSE,0.56,,
61,DOLE_PINEAPPLE_UNSWEETENED_240ML,240ml,36,,,,,,FALSE,0.63,,
62,DSFAPS_DANISA_BUTTERCOOKIES_454G,454g,366,,,,,,FALSE,6.44,,
63,DUTCHMILL_DELIGHT_ORIGINAL_100ML,100ml,11.52,,,,,,FALSE,0.2,,
64,DUTCHMILL_DELIGHT_ORIGINAL_400ML,400ml,57.4,Milk,None,"Serving Size: 200mL, No. Serving per container: 2, Energy (Per Serving): 158kcal, Protein: 3.2g, Total Fat: 0g, Saturated Fat: 5g, Trans Fat: 0g, Cholesterol: 0mg, Total Carbohydrates: 35.6g, Dietary Fiber: 1g, Total Sugars: 34g, Sodium: 70mg, Calcium: 124mg, Vitamin B2: 0.2mg","Recombined Skimmed Milk, Sugar, Lactobacillus paracasei (IMULUS), Prebiotic Fiber (Inulin) ",Contains: Live Lactobacillus (IMULUS®) paracasei Strain,TRUE,1.01,,
65,DUTCHMILL_MIXED_BERRIES_180ML,180ml,19.3125,Milk,None,,"Yoghurt (fresh milk, water, skim milk powder, Lactobacillus bulgaricus, Streptococcus thermophilus), water, Mixed Berries Juice (Blueberry, Strawberry, Raspberry), sugar, stabilizer (pectins), Nature Identical Mixed Berries Flavor, acidity regulator (citric acid), Nature Identical Cream Sweet flavor, Vitamins [A (Retinyl Acetate), D (Cholecalciferol), E (Thiamin chloride hydrochloride), B2 (Riboflavin), B3 (Cyanocobalamin), C (Ascorbic Acid), Zinc (Zinc sulphate), Iodine (potasium iodide)], Natural Cotton Candy Flavor, Sweetener (sucralose), Artificial Color (Ponceau 4 R)",,FALSE,0.34,,
66,DUTCHMILL_PROYO_STRAWBERRY_400ML,400ml,49.5,Milk,None,"Serving Size: 200 ml, No. of Servings per container: 2, Calories: 140kcal, Calories from Fat: 18g, Total Fat: 2g, Saturated Fat: 1g, Trans Fat: 0g, Cholesterol: 9mg, Sodium: 70mg, Total Carbohydrates: 27g, Dietary Fiber: 0.9g, Total Sugars: 24g, Protein: 3.2g, Vitamin A: 3%, Vitamin D: 32%, Vitamin B1: 43%, Vitamin B2: 44%, Calcium: 17%","Yoghurt (Fresh Milk, Water, Skim Milk Powder, Whole Milk Powder, Lactobacillus bulgaricus, Streptococcus thermophilus), Water, Sugar, Strawberry Juice, Acidity Regulator (Citric Acid), Stabilizer (Pectins), Nature Identical Strawberry Flavor, Vitamins (B1, B2, D), Artificial Color Allergen Statement: Contains Milk Contains: Live Lactobacillus bulgaricus, Streptococcus thermophilus",,TRUE,0.87,,
67,EDEN_MELT_SARAP_CHEESE_160G,160g,95.75,Milk,None,"Serving Size: 30g, Serving Per Package: 63, Energy: 90kcal, Carbohydrate: 2g, Sugars: 1g, Dietary Fiber; <1g, Protein: 4g, Total Fats: 6g, Saturated Fats: 6g, Trans Fats: <1g, Cholesterol 3mg, Sodium 300mg","Water, Vegetable Oil (May contain one or more of the following: Coconut Oil, Palm Olein), Milk Powders, Natural Cheese, Emulsifiers (Sodium Phosphate, Sodium Citrate, Monoglycerides), Mineral Salts (Potassium Chloride, lodized Salt), Maltodextrin, Food Acid (Lactic Acid), Sugar, Preservative (Potassium Sorbate)",,TRUE,1.68,,
68,EDEN_ORIGINAL_CHEESE_160G,160g,26.25,Milk,None,"Serving Size: 30g, Serving Per Package: 5, Calories: 90kcal, Carbohydrate: 4g, Sugars: 1g, Dietary Fiber; <1g, Protein: 3g, Total Fats: 7g, Saturated Fats: 6g, Trans Fats: <1g, Cholesterol 4mg, Sodium 420mg, Vitamin A: 38%, Riboflavin (Vitamin B2): 21%, Calcium: 15%, Iron: 10%","Water, Vegetable Oil (May contain one or more of the following: Coconut Oil, Palm Oil, Palm Olein), MILK Powders, Food Starches (May contain one or more of the following: Corn, Tapioca), Natural CHEESE, Emulsifiers (E339, E471), lodized Salt, Acidity Regulator (E260), Vitamins and Minerals (Calcium Phosphate, Iron Pyrophosphate, Retinyl Palmitate, Riboflavin), Sugar, Preservative (E202).",,TRUE,0.46,,
69,EL_RANCHO_BEEF_LOAF_155G,155g,18.25,Soybeans/Soy/Soya,"Eggs, Wheat/Cereals/Gluten, Milk, Fish","Serving Size: 55g, Calories: 105, Calories from Fat: 60, Total Fat: 7g,  Trans Fat: 0g, Cholesterol: 8mg, Sodium: 520mg, Total Carbohydrates: 9g, Dietary Fiber: 0g, Sugars: 1g, Protein: 3g","Beef and Mechanically Separated Poultry Meat. Water, Starch, Soy Protein, Spices and Seasonings, lodized Salt, Sugar, Sodium Polyphosphates as Emulsifier, Sodium Erythorbate as Antioxidant Sodium Nitrite as Color Fixing Agent, FD&C Red No. 3, FD&C Red No. 2 and FD&C Yellow No 6",,TRUE,0.32,,
70,FIBISCO_CHOCOCRUNCHIES_ORIGINAL_200G,200g,80.1,"Wheat/Cereals/Gluten, Milk, Soybeans/Soy/Soya","Eggs, Tree Nuts","Serving Size: 20g (2pcs), Servings Per Container: 10 Calories: 100, Calories from Fat: 40, Total Fat: 4g, Saturated Fat: 4g, Trans Fat: 0g, Cholesterol: 0mg, Sodium: 40mg, Total Carbohydrates: 14g, Dietary Fiber: 0g, Sugars: 7g, Protein: 1g, Calcium: 3%, Iron: 3%","Chocolate (Sugar, Hydrogenated Vegetable Oil (Palm Kernel Oil), Cocoa Powder, Milk Powder, Whey Powder, Soy Lecithin (Emulsifier), Cinnamon Powder, Nature Identical Vanillin Flavor), Wheat Flour, Sugar, Margarine Non-hydrogenated Vegetable Fat (Palm Oil), Corn Syrup, Milk Permeate Powder, Raising Agents (Ammonium Bicarbonate and Sodium Bicarbonate), Iodized Salt Nature Identical Vanillin Flavor, Sodium Metabisulfite (Reducing Agent)",,TRUE,1.41,,
71,FIBISCO_CHOCOMALLOWS_100G,100g,38,"Wheat/Cereals/Gluten, Milk, Soybeans/Soy/Soya","Eggs, Tree Nuts","Serving Size: 36g (2pcs), Servings Per Container: 3, Calories: 160, Total Fat: 6g, Saturated Fat: 5g, Trans Fat: 0g, Cholesterol: 0mg, Sodium: 90mg, Total Carbohydrates: 25g, Dietary Fiber: 0g, Total Sugars: 16g, Incl. Added Sugars: 16g, Protein: 2g, Vitamin D: 0mg, Calcium: 40mg, Iron: 0.9mg, Potassium: 100mg","Chocolate (Sugar, Hydrogenated Vegetable Oil (Palm Kernel Oil), Cocoa Powder, Milk Powder, Whey Powder, Soy Lecithin (Emulsifier), Cinnamon Powder, Nature Identical Vanillin Flavor). Sugar, Wheat Flour, Corn Syrup, Margarine, Cornstarch, Iodized Salt, Raising Agents (Sodium Bicarbonate And Ammonium Bicarbonate), Gelatin, Nature Identical Vanillin Flavor, Potassium Sorbate (Preservative)",,TRUE,0.67,,
72,FIBISCO_JOLLY_26G,27g,6.245,"Wheat/Cereals/Gluten, Milk","Eggs, Soybeans/Soy/Soya, Tree Nuts","Serving Size: 27g (3pcs), Servings Per Container: 1, Calories: 130, Calories from Fat: 40g, Total Fat: 4g, Saturated Fat: 3g, Trans Fat: 0g, Cholesterol: 0g, Sodium: 75mg, Total Carb: 20g, Dietary Fiber: 0g, Sugars: 9g, Incl. Added Sugars: 9g, Protein: 2g, Iron: 0.5mg","Wheat Flour, Sugar, Margarine, Non-Hydrogenated Vegetable Fat (Palm Oil), Corn Syrup, Milk Permeate Powder, Raising Agents (Ammonium Bicarbonate And Sodium Bicarbonate), Iodized Salt, Nature Identical Vanillin Flavor, Annatto Color, Sodium Metabisulfite (Reducing Agent)",,TRUE,0.11,,
73,GLICO_POCKY_CHOCOLATE_20G,20g,27.95,"Milk, Soybeans/Soy/Soya","Peanuts, Tree Nuts","Serving size: 1 Package (20g) No. Serving per container: 1, Energy: 96kcal, Energy from fat: 33kcal, Total Fat: 3.6g, Saturated fat: 3.0g, Trans fat: 0g, Cholesterol: less than 1mg, Total Protein: 1.7g, Total Carbohydrate: 14.0g, Dietary fiber: 1.6g, Sugars: 7.5g, Sodium: 37 mg","Wheat Flour(Wheat), Sugar, Fully Hydrogenated Vegetable Oils(Palm Kernel Oil, Palm Oil, Rapeseed Oil) (Soybean), Cocoa Powder(8%), Modified Starch, Skim Milk Powder(3%) (Milk), Shortening (Fully Hydrogenated Palm Oil, Emulsifier(Propylene Glycol Esters of Fatty Acids), Antioxidant (Tocopherols)), Whole Wheat Flour (Wheat), Whole Milk Powder(1%)(Milk, Soybean), Malt Extract(Wheat, Barley, Rye, Oat), Cocoa Mass(0.5%), Salt, Artificial Flavours, Emulsifier(Lecithin) (Soybean), Raising Agent(Sodium Bicarbonate), Yeast Contains", Chocolate Flavoured Cream 52%,TRUE,0.49,,
74,GLICO_POCKY_CHOCOLATE_40G,40g,50.75,"Milk, Soybeans/Soy/Soya","Peanuts, Tree Nuts","Serving size: 1 Package (40g) No. Serving per container: 1, Energy: 191kcal, Energy from fat: 65kcal, Total Fat: 7.2g, Saturated fat: 6.0g, Trans fat: 0g, Cholesterol: 1mg, Total Protein: 3.4g, Total Carbohydrate: 28.1g, Dietary fiber: 3.2g, Sugars: 15.1g, Sodium: 73 mg","Wheat Flour(Wheat), Sugar, Fully Hydrogenated Vegetable Oils(Palm Kernel Oil, Palm Oil, Rapeseed Oil) (Soybean), Cocoa Powder(8%), Modified Starch, Skim Milk Powder(3%) (Milk), Shortening (Fully Hydrogenated Palm Oil, Emulsifier(Propylene Glycol Esters of Fatty Acids), Antioxidant (Tocopherols)), Whole Wheat Flour (Wheat), Whole Milk Powder(1%)(Milk, Soybean), Malt Extract(Wheat, Barley, Rye, Oat), Cocoa Mass(0.5%), Salt, Artificial Flavours, Emulsifier(Lecithin) (Soybean), Raising Agent(Sodium Bicarbonate), Yeast", Contains Chocolate Flavoured Cream 52%,TRUE,0.89,,
75,GLICO_POCKY_COOKIES_AND_CREAM_40G,40g,50.75,"Wheat/Cereals/Gluten, Milk, Soybeans/Soy/Soya","Wheat/Cereals/Gluten, Tree Nuts","Serving size: 1 Package (40g) No. Serving per container: 1, Energy: 201kcal, Energy from fat: 82kcal, Total Fat: 9.1g, Saturated fat: 7.6g, Trans fat: 0g, Cholesterol: 3mg, Total Protein: 2.9g, Total Carbohydrate: 26.8g, Dietary fiber: 3.0g, Sugars: 15.0g, Sodium: 58mg","Wheat Flour (Wheat), Sugar, Fully Hydrogenated Vegetable Oils(Palm Kernel Oil, Palm Oil, Rapeseed Oil)(Soybean), Whole Milk Powder (9%) (Milk, Soybean), Lactose (Milk), Modified Starches, Inulin(2%), Shortening (Fully Hydrogenated Palm Oil, Emulsifier(Propylene Glycol Esters of Fatty Acids), Antioxidant(Tocopherols)), Cocoa Powder, Whole Wheat Flour(Wheat), Artificial Flavours, Emulsifier (Lecithin) (Soybean), Salt, Corn Starch, Yeast, Raising Agent(Sodium Bicarbonate).",Contains Milk Flavoured Cream 56%.,TRUE,0.89,,
76,GLICO_POCKY_DOUBLE_CHOCO_39G,39g,44.5,"Wheat/Cereals/Gluten, Milk, Soybeans/Soy/Soya","Tree Nuts, Peanuts","Serving size: 1 Package (39g) No. Serving per container: 1, Energy: 193kcal, Energy from fat: 77kcal, Total Fat: 8.5g, Saturated fat: 7.2g, Trans fat: 0g, Cholesterol: 1mg, Total Protein: 3.3g, Total Carbohydrate: 25.7g, Dietary fiber: 3.2g, Sugars: 13.0g, Sodium: 64mg","Wheat Flour (Wheat), Sugar, Fully Hydrogenated Vegetable Oils(Palm Kernel Oil, Palm Oil, Rapeseed Oil)(Soybean), Cocoa Powder(10%), Modified Starch, Skim Milk Powder(3%)(Milk), Shortening(Fully Hydrogenated Palm Oil, Emulsifier(Propylene Glycol Esters of Fatty Acids), Antioxidant (Tocopherols)), Whole Wheat Flour(Wheat), Cocoa Mass (1%), Whole Milk Powder(0.7%) (Milk, Soybean), Artificial Flavours, Salt, Emulsifier(Lecithin) (Soybean), Yeast, Raising Agent(Sodium Bicarbonate)",Contains Chocolate Flavoured Cream 53%.,TRUE,0.78,,
77,GLICO_POCKY_STRAWBERRY_20G,20g,27.5,"Wheat/Cereals/Gluten, Milk, Soybeans/Soy/Soya",Tree Nuts,"Serving Size: 1, Package (40g) No. Serving per Package: 1, Calories: 200, Calories from Fat 70, Total Fat: 8g, Saturated Fat: 4.5g, Trans Fat: 0g, Cholesterol: <5mg, Sodium: 90mg, Total Carbohydrates: 28g, Dietary Fiber: 0g, Sugars: 13g, Protein: 3g, Vitamin A: 0%, Vitamin C: 0%, Calcium: 2%, Iron: 0%","Wheat Flour, Sugar, Blend Of Vegetable Oil(Sunflower Oil, Palm Oil), Lactose, Whole Milk Powder, Palm Oil Shortening, Contains 1 Percent Or Less Of Beet Red Color, Artificial Flavors, Salt, Yeast, Strawberry Powder, Lecithin, Leavening (Sodium Bicarbonate), Monoglycerides, Sodium Hydroxide, Papain",,TRUE,0.48,,
78,GOLDEMBLEM_HIKERSBLENDTRAILMIX_368G,368g,341,,,,,,FALSE,6,,
79,GOYA_CHOCOPRETZEL_TWISTS_CREAM_WHITE_21G,21g,9.35,"Wheat/Cereals/Gluten, Milk, Soybeans/Soy/Soya","Peanuts, Tree Nuts","Serving Size: 21g, No. of Servings per pack: 1, Calories: 102kcal, Calories from fat: 28, Total fat: 4g, Saturated Fat: 4g, Trans Fat: 0g, Cholesterol: 1mg, Sodium: 38mg, Total Carbohydrates: 14g, Dietary Fiber: 0g, Sugar: 8g, Total Protein: 2g",,,FALSE,0.16,,
80,GOYA_PRETZEL_TWISTS_GOYA_DARK_CHOCOLATE_21G,21g,9.6,"Wheat/Cereals/Gluten, Milk, Soybeans/Soy/Soya","Peanuts, Tree Nuts","Serving Size: 21g, No. of Servings per pack: 1, Calories: 101kcal, Calories from fat: 41, Total fat: 4g, Saturated Fat: 4g, Trans Fat: 0g, Cholesterol: 1mg, Sodium: 40mg, Total Carbohydrates: 15g, Dietary Fiber: 0g, Sugar: 8g, Total Protein: 1g",,,FALSE,0.17,,
81,GOYA_PRETZEL_TWISTS_MILK_CHOCOLATE_21G,21g,9.35,"Wheat/Cereals/Gluten, Milk, Soybeans/Soy/Soya","Peanuts, Tree Nuts","Serving Size: 21g, No. of Servings per pack: 1, Calories: 100kcal, Calories from fat: 35, Total fat: 4g, Saturated Fat: 4g, Trans Fat: 0g, Cholesterol: 1mg, Sodium: 40mg, Total Carbohydrates: 15g, Dietary Fiber: 0g, Sugar: 8g, Total Protein: 1g",,,FALSE,0.16,,
82,GRANDBISCO_CHOCO_COATED_PIE_WITH_MALLOW_18G,18g,5,,,,,,FALSE,0.09,,
83,GRANDBISCO_CHOCOLATE_CHIP_COOKIES_40G,40g,11.5,,,,,,FALSE,0.2,,
84,GRANDBISCO_UBE_FILLED_CRACKERS_30G,30g,6.75,,,,,,FALSE,0.12,,
85,GRANDBISCO_WHITE_CHOCO_FILLED_CRACKERS_30G,30g,6.75,,,,,,FALSE,0.12,,
86,GROWERS_GLAZED_PILI_NUTS_80G,80g,107.35,Tree Nuts,None,"Serving Size: 1/4 Cup (30g), Servings Per Container: 2.5, Energy: 200kcal, Total Fat: 17g, Saturated Fat: 9g, Trans Fat: 0g, Cholesterol: 0mg, Sodium: 20mg, Total Carbohydrates: 9g, Dietary Fiber: 0g, Sugars: 9g, Total Protein: 2g, Calcium: 26mg, Iron: 0.83mg, Phosphorus: 271mg","Pili Nuts, Sugar, Coconut Oil",,TRUE,1.89,,
87,GROWERS_SAVOURY_HOT_80G,80g,39.65,"Peanuts, Wheat/Cereals/Gluten, Soybeans/Soy/Soya",None,"Serving Size: 1/4 Cup (30g), Servings Per Container: 2.5, Energy: 190kcal, Total Fat: 14g, Saturated Fat: 4g, Trans Fat: 0g, Cholesterol: 0mg, Sodium: 150mg, Total Carbohydrates: 7g, Dietary Fiber: 5g, Sugars: 2g, Total Protein: 7g, Vitamin D: 1mcg, Iron: 1mg, Potassium: 138mg, Phosphorus: 25mg, Magnesium: 42mg, Copper: 0.22mg","Peanuts, Wheat Flour, Hydrolyzed Soy Protein, Coconut Oil, Iodized Salt (Salt And Potassium Iodate), Monosodium Glutamate, Flavor Enhancer, Spices Silica (Anti-caking Agent), Artificial Beef Flavor, Sugar",,TRUE,0.7,,
88,HAPPYFLAKES_ROUND_CRACKERS_32G,32g,10,,,,,,FALSE,0.18,,
89,HEINEKEN_330ML,330ml,73,Wheat/Cereals/Gluten,None,"Serving Size: 300mL, Energy: 150kcal, Protein: 1.5g, Carbohydrates: 11.5g, Fat: 0g","Water, Malted Barley, Hop Extract, Natural Flavorings",,TRUE,1.28,,
